firstname;lastname;city;zipCode
Vorname1999;Nachname1999;Stadt1999;1999
Vorname2000;Nachname2000;Stadt2000;2000
Vorname2001;Nachname2001;Stadt2001;2001
Vorname2002;Nachname2002;Stadt2002;2002
Vorname2003;Nachname2003;Stadt2003;2003
Vorname2004;Nachname2004;Stadt2004;2004
Vorname2005;Nachname2005;Stadt2005;2005
Vorname2006;Nachname2006;Stadt2006;2006
Vorname2007;Nachname2007;Stadt2007;2007
Vorname2008;Nachname2008;Stadt2008;2008
Vorname2009;Nachname2009;Stadt2009;2009
Vorname2010;Nachname2010;Stadt2010;2010
Vorname2011;Nachname2011;Stadt2011;2011
Vorname2012;Nachname2012;Stadt2012;2012
Vorname2013;Nachname2013;Stadt2013;2013
Vorname2014;Nachname2014;Stadt2014;2014
Vorname2015;Nachname2015;Stadt2015;2015
Vorname2016;Nachname2016;Stadt2016;2016
Vorname2017;Nachname2017;Stadt2017;2017
Vorname2018;Nachname2018;Stadt2018;2018
Vorname2019;Nachname2019;Stadt2019;2019
Vorname2020;Nachname2020;Stadt2020;2020
Vorname2021;Nachname2021;Stadt2021;2021
Vorname2022;Nachname2022;Stadt2022;2022
Vorname2023;Nachname2023;Stadt2023;2023
Vorname2024;Nachname2024;Stadt2024;2024
Vorname2025;Nachname2025;Stadt2025;2025
Vorname2026;Nachname2026;Stadt2026;2026
Vorname2027;Nachname2027;Stadt2027;2027
Vorname2028;Nachname2028;Stadt2028;2028
Vorname2029;Nachname2029;Stadt2029;2029
Vorname2030;Nachname2030;Stadt2030;2030
Vorname2031;Nachname2031;Stadt2031;2031
Vorname2032;Nachname2032;Stadt2032;2032
Vorname2033;Nachname2033;Stadt2033;2033
Vorname2034;Nachname2034;Stadt2034;2034
Vorname2035;Nachname2035;Stadt2035;2035
Vorname2036;Nachname2036;Stadt2036;2036
Vorname2037;Nachname2037;Stadt2037;2037
Vorname2038;Nachname2038;Stadt2038;2038
Vorname2039;Nachname2039;Stadt2039;2039
Vorname2040;Nachname2040;Stadt2040;2040
Vorname2041;Nachname2041;Stadt2041;2041
Vorname2042;Nachname2042;Stadt2042;2042
Vorname2043;Nachname2043;Stadt2043;2043
Vorname2044;Nachname2044;Stadt2044;2044
Vorname2045;Nachname2045;Stadt2045;2045
Vorname2046;Nachname2046;Stadt2046;2046
Vorname2047;Nachname2047;Stadt2047;2047
Vorname2048;Nachname2048;Stadt2048;2048
Vorname2049;Nachname2049;Stadt2049;2049
Vorname2050;Nachname2050;Stadt2050;2050
Vorname2051;Nachname2051;Stadt2051;2051
Vorname2052;Nachname2052;Stadt2052;2052
Vorname2053;Nachname2053;Stadt2053;2053
Vorname2054;Nachname2054;Stadt2054;2054
Vorname2055;Nachname2055;Stadt2055;2055
Vorname2056;Nachname2056;Stadt2056;2056
Vorname2057;Nachname2057;Stadt2057;2057
Vorname2058;Nachname2058;Stadt2058;2058
Vorname2059;Nachname2059;Stadt2059;2059
Vorname2060;Nachname2060;Stadt2060;2060
Vorname2061;Nachname2061;Stadt2061;2061
Vorname2062;Nachname2062;Stadt2062;2062
Vorname2063;Nachname2063;Stadt2063;2063
Vorname2064;Nachname2064;Stadt2064;2064
Vorname2065;Nachname2065;Stadt2065;2065
Vorname2066;Nachname2066;Stadt2066;2066
Vorname2067;Nachname2067;Stadt2067;2067
Vorname2068;Nachname2068;Stadt2068;2068
Vorname2069;Nachname2069;Stadt2069;2069
Vorname2070;Nachname2070;Stadt2070;2070
Vorname2071;Nachname2071;Stadt2071;2071
Vorname2072;Nachname2072;Stadt2072;2072
Vorname2073;Nachname2073;Stadt2073;2073
Vorname2074;Nachname2074;Stadt2074;2074
Vorname2075;Nachname2075;Stadt2075;2075
Vorname2076;Nachname2076;Stadt2076;2076
Vorname2077;Nachname2077;Stadt2077;2077
Vorname2078;Nachname2078;Stadt2078;2078
Vorname2079;Nachname2079;Stadt2079;2079
Vorname2080;Nachname2080;Stadt2080;2080
Vorname2081;Nachname2081;Stadt2081;2081
Vorname2082;Nachname2082;Stadt2082;2082
Vorname2083;Nachname2083;Stadt2083;2083
Vorname2084;Nachname2084;Stadt2084;2084
Vorname2085;Nachname2085;Stadt2085;2085
Vorname2086;Nachname2086;Stadt2086;2086
Vorname2087;Nachname2087;Stadt2087;2087
Vorname2088;Nachname2088;Stadt2088;2088
Vorname2089;Nachname2089;Stadt2089;2089
Vorname2090;Nachname2090;Stadt2090;2090
Vorname2091;Nachname2091;Stadt2091;2091
Vorname2092;Nachname2092;Stadt2092;2092
Vorname2093;Nachname2093;Stadt2093;2093
Vorname2094;Nachname2094;Stadt2094;2094
Vorname2095;Nachname2095;Stadt2095;2095
Vorname2096;Nachname2096;Stadt2096;2096
Vorname2097;Nachname2097;Stadt2097;2097
Vorname2098;Nachname2098;Stadt2098;2098
Vorname2099;Nachname2099;Stadt2099;2099
Vorname2100;Nachname2100;Stadt2100;2100
Vorname2101;Nachname2101;Stadt2101;2101
Vorname2102;Nachname2102;Stadt2102;2102
Vorname2103;Nachname2103;Stadt2103;2103
Vorname2104;Nachname2104;Stadt2104;2104
Vorname2105;Nachname2105;Stadt2105;2105
Vorname2106;Nachname2106;Stadt2106;2106
Vorname2107;Nachname2107;Stadt2107;2107
Vorname2108;Nachname2108;Stadt2108;2108
Vorname2109;Nachname2109;Stadt2109;2109
Vorname2110;Nachname2110;Stadt2110;2110
Vorname2111;Nachname2111;Stadt2111;2111
Vorname2112;Nachname2112;Stadt2112;2112
Vorname2113;Nachname2113;Stadt2113;2113
Vorname2114;Nachname2114;Stadt2114;2114
Vorname2115;Nachname2115;Stadt2115;2115
Vorname2116;Nachname2116;Stadt2116;2116
Vorname2117;Nachname2117;Stadt2117;2117
Vorname2118;Nachname2118;Stadt2118;2118
Vorname2119;Nachname2119;Stadt2119;2119
Vorname2120;Nachname2120;Stadt2120;2120
Vorname2121;Nachname2121;Stadt2121;2121
Vorname2122;Nachname2122;Stadt2122;2122
Vorname2123;Nachname2123;Stadt2123;2123
Vorname2124;Nachname2124;Stadt2124;2124
Vorname2125;Nachname2125;Stadt2125;2125
Vorname2126;Nachname2126;Stadt2126;2126
Vorname2127;Nachname2127;Stadt2127;2127
Vorname2128;Nachname2128;Stadt2128;2128
Vorname2129;Nachname2129;Stadt2129;2129
Vorname2130;Nachname2130;Stadt2130;2130
Vorname2131;Nachname2131;Stadt2131;2131
Vorname2132;Nachname2132;Stadt2132;2132
Vorname2133;Nachname2133;Stadt2133;2133
Vorname2134;Nachname2134;Stadt2134;2134
Vorname2135;Nachname2135;Stadt2135;2135
Vorname2136;Nachname2136;Stadt2136;2136
Vorname2137;Nachname2137;Stadt2137;2137
Vorname2138;Nachname2138;Stadt2138;2138
Vorname2139;Nachname2139;Stadt2139;2139
Vorname2140;Nachname2140;Stadt2140;2140
Vorname2141;Nachname2141;Stadt2141;2141
Vorname2142;Nachname2142;Stadt2142;2142
Vorname2143;Nachname2143;Stadt2143;2143
Vorname2144;Nachname2144;Stadt2144;2144
Vorname2145;Nachname2145;Stadt2145;2145
Vorname2146;Nachname2146;Stadt2146;2146
Vorname2147;Nachname2147;Stadt2147;2147
Vorname2148;Nachname2148;Stadt2148;2148
Vorname2149;Nachname2149;Stadt2149;2149
Vorname2150;Nachname2150;Stadt2150;2150
Vorname2151;Nachname2151;Stadt2151;2151
Vorname2152;Nachname2152;Stadt2152;2152
Vorname2153;Nachname2153;Stadt2153;2153
Vorname2154;Nachname2154;Stadt2154;2154
Vorname2155;Nachname2155;Stadt2155;2155
Vorname2156;Nachname2156;Stadt2156;2156
Vorname2157;Nachname2157;Stadt2157;2157
Vorname2158;Nachname2158;Stadt2158;2158
Vorname2159;Nachname2159;Stadt2159;2159
Vorname2160;Nachname2160;Stadt2160;2160
Vorname2161;Nachname2161;Stadt2161;2161
Vorname2162;Nachname2162;Stadt2162;2162
Vorname2163;Nachname2163;Stadt2163;2163
Vorname2164;Nachname2164;Stadt2164;2164
Vorname2165;Nachname2165;Stadt2165;2165
Vorname2166;Nachname2166;Stadt2166;2166
